"","PARENT_AWARENESS","child_maltreatment","prop_single_mothers","teen_mothers","families_in_poverty","families_unaware_of_community","drug_abuse","PARENT_AWARENESS_percentile","child_maltreatment_percentile","prop_single_mothers_percentile","teen_mothers_percentile","families_in_poverty_percentile","families_unaware_of_community_percentile","drug_abuse_percentile","PARENT_AWARENESS_score"
"100",0.463797790121012,0.272217400266496,0.414468766115462,0.570715474209651,0.189304646520912,0.384568969144224,0.08131344936478,0.698347107438017,0.855371900826446,0.508264462809917,0.793388429752066,0.566115702479339,0.669421487603306,0.417355371900826,"60"
"101",0.75306163859042,0.155252986672628,0.456304735873032,0.906821963394343,0.685492906274964,0.406206227748278,0.187230560438208,0.90495867768595,0.59504132231405,0.586776859504132,0.979338842975207,0.946280991735537,0.739669421487603,0.826446280991736,"90"
"102",0.600958280416056,0.104409710538319,0.45745690943904,0.906821963394343,0.273155814355541,0.391408375749788,0.154844696328499,0.809917355371901,0.421487603305785,0.59504132231405,0.979338842975207,0.698347107438017,0.706611570247934,0.714876033057851,"80"
"103",0.638809439119344,0.319659908746806,0.459595208485982,0.570715474209651,0.494157713087064,0.377636818246404,0.240593740875062,0.838842975206612,0.909090909090909,0.599173553719008,0.793388429752066,0.884297520661157,0.652892561983471,0.884297520661157,"80"
"104",0.881862130770237,0.512647580301925,0.881106087319391,0.856905158069884,0.49080761875639,0.426581107029008,0.158861555674318,0.958677685950413,0.983471074380165,0.975206611570248,0.929752066115702,0.867768595041322,0.772727272727273,0.731404958677686,"90"
"105",0.756280646101649,0.233840375696093,0.5614288063046,0.906821963394343,0.50074571818251,0.385407724368815,0.207293999093868,0.909090909090909,0.789256198347107,0.768595041322314,0.979338842975207,0.888429752066116,0.677685950413223,0.855371900826446,"90"
"106",0.714159060664071,0.151021098738874,0.620929306256347,0.570715474209651,0.616490596434903,0.47637509560276,0.215847379638992,0.884297520661157,0.574380165289256,0.822314049586777,0.793388429752066,0.933884297520661,0.871900826446281,0.863636363636364,"80"
"107",0.63368733386687,0.293739845339845,0.545797895115561,0.570715474209651,0.255894724836042,0.478627776632236,0.257759443396857,0.834710743801653,0.892561983471074,0.756198347107438,0.793388429752066,0.669421487603306,0.87603305785124,0.900826446280992,"80"
"108",0.947674627030811,0.396299326118962,1,0.570715474209651,0.742694345866715,0.595883290279136,0.216275431464405,0.987603305785124,0.958677685950413,1,0.793388429752066,0.971074380165289,0.950413223140496,0.867768595041322,"90"
"109",0.896149719649201,0.251652236892185,0.844676660908675,0.856905158069884,0.719340152380065,0.378814096312501,0.183582863894381,0.975206611570248,0.826446280991736,0.966942148760331,0.929752066115702,0.962809917355372,0.661157024793388,0.814049586776859,"90"
"110",0.779840009817629,0.566284749579188,0.457091025913504,0.856905158069884,0.585564576797397,0.35335323153685,0.20177460277527,0.921487603305785,0.995867768595041,0.590909090909091,0.929752066115702,0.929752066115702,0.582644628099174,0.847107438016529,"90"
"111",0.748476957918432,0.179084481198542,0.591779086804526,0.570715474209651,0.542561337501987,0.509301934733439,0.260743950513942,0.900826446280992,0.65702479338843,0.801652892561983,0.793388429752066,0.900826446280992,0.921487603305785,0.90495867768595,"80"
"112",0.730245090999597,0.202253018586352,0.454604818971665,0.823627287853577,0.581538161771695,0.441572538123598,0.187324732875111,0.896694214876033,0.723140495867769,0.582644628099174,0.917355371900826,0.925619834710744,0.809917355371901,0.830578512396694,"80"
"113",0.275744273314923,0.128482211521357,0.39903522787695,0.302828618968386,0.0322359244047927,0.320175935987365,0.118527281323591,0.409090909090909,0.495867768595041,0.479338842975207,0.574380165289256,0.0661157024793388,0.495867768595041,0.586776859504132,"40"
"114",0.383290578669441,0.0532304835535379,0.437240251588672,0.302828618968386,0.171714155075626,0.503776643718417,0.113465582052277,0.574380165289256,0.256198347107438,0.557851239669422,0.574380165289256,0.520661157024793,0.913223140495868,0.553719008264463,"50"
"115",0.449854213321555,0.154869110841157,0.36539785003303,0.302828618968386,0.382584458963721,0.467586340628918,0.152318895156737,0.681818181818182,0.590909090909091,0.417355371900826,0.574380165289256,0.801652892561983,0.855371900826446,0.702479338842975,"60"
"116",0.652402806126693,0.133699817781052,0.824280331448581,0.635607321131448,0.489575655358315,0.28165797371704,0.120718277136072,0.847107438016529,0.516528925619835,0.958677685950413,0.859504132231405,0.855371900826446,0.413223140495868,0.603305785123967,"80"
"117",0.633449300763965,0.247312406342693,0.630582711868791,0.823627287853577,0.164793613661812,0.380547976266737,0.219340803137844,0.830578512396694,0.814049586776859,0.838842975206612,0.917355371900826,0.487603305785124,0.665289256198347,0.87603305785124,"80"
"118",0.655211546952509,0.340390605433449,0.441655752155941,0.823627287853577,0.41369335274231,0.360757367947249,0.165291008076589,0.851239669421488,0.925619834710744,0.566115702479339,0.917355371900826,0.834710743801653,0.619834710743802,0.756198347107438,"80"
"119",0.645650756898314,0.291564847983353,0.475069524117515,0.823627287853577,0.387949331117177,0.360520738734581,0.195976747037466,0.84297520661157,0.884297520661157,0.62396694214876,0.917355371900826,0.805785123966942,0.611570247933884,0.838842975206612,"80"
"120",0.363398367137212,0.0170053444630399,0.322145583043042,0.635607321131448,0.130941642098559,0.317004057026439,0.113475857162886,0.545454545454545,0.169421487603306,0.34297520661157,0.859504132231405,0.409090909090909,0.491735537190083,0.557851239669422,"50"
"121",0.460493905006254,0.141895544346364,0.430259187719828,0.635607321131448,0.242240257190537,0.315353815147671,0.122485976674926,0.690082644628099,0.553719008264463,0.537190082644628,0.859504132231405,0.644628099173554,0.483471074380165,0.611570247933884,"60"
"122",0.200101380884334,0.0770857705412679,0.260779930534002,0.392678868552413,0.0858581080173236,0.211202924407888,0.00879756721006769,0.268595041322314,0.34297520661157,0.252066115702479,0.677685950413223,0.247933884297521,0.28099173553719,0.0413223140495868,"20"
"123",0.132214477517907,0.0501103196245062,0.110995261959813,0.392678868552413,0.0799840612712114,0.192224632003512,0.0109856373878179,0.161157024793388,0.235537190082645,0.0785123966942149,0.677685950413223,0.223140495867769,0.235537190082645,0.0537190082644628,"10"
"124",0.418912704697494,0.0573239303463519,0.634632892051513,0.217970049916805,0.292588115249322,0.424623143715115,0.045112928329991,0.636363636363636,0.264462809917355,0.855371900826446,0.338842975206612,0.735537190082645,0.768595041322314,0.223140495867769,"60"
"125",0.168360640968504,0.0754819919440201,0.266825984107398,0.217970049916805,0.128974996800396,0.218760186515404,0.0314840318674735,0.210743801652893,0.338842975206612,0.256198347107438,0.338842975206612,0.40495867768595,0.318181818181818,0.132231404958678,"20"
"126",0.331431568523508,0.0302471766460686,0.256587389153938,0.247920133111481,0.198821512100453,0.643234941681926,0.0514584311521672,0.495867768595041,0.198347107438017,0.243801652892562,0.442148760330579,0.59504132231405,0.966942148760331,0.272727272727273,"40"
"127",0.413277200345667,0.142062991411761,0.476959993040238,0.217970049916805,0.491008060372949,0.350562514513018,0.0452098965840219,0.62396694214876,0.557851239669422,0.628099173553719,0.338842975206612,0.871900826446281,0.566115702479339,0.227272727272727,"60"
"128",0.325653339528267,0.079415540994645,0.53925801918856,0.217970049916805,0.0755653598295298,0.501108643588914,0.0320945750554241,0.491735537190083,0.347107438016529,0.752066115702479,0.338842975206612,0.202479338842975,0.90495867768595,0.136363636363636,"40"
"129",0.257276969026483,0.0927233587111388,0.322073486376013,0.247920133111481,0.109811556298623,0.398487977397869,0.052457047903909,0.384297520661157,0.380165289256198,0.338842975206612,0.442148760330579,0.338842975206612,0.71900826446281,0.289256198347107,"30"
"130",0.303731322866793,0.0615005020449147,0.446668191023517,0.247920133111481,0.0346799238199818,0.498681432582084,0.0522274712782385,0.458677685950413,0.28099173553719,0.574380165289256,0.442148760330579,0.0785123966942149,0.896694214876033,0.28099173553719,"40"
"131",0.502640890361038,0.274906728429326,0.480176208046235,0.247920133111481,0.272835453286363,0.495292068196436,0.249361464928153,0.739669421487603,0.859504132231405,0.640495867768595,0.442148760330579,0.694214876033058,0.888429752066116,0.896694214876033,"70"
"132",0.267346209053342,0.0950963434757524,0.357007924093716,0.247920133111481,0.132098189566665,0.388751045170482,0.0562408303003114,0.396694214876033,0.392561983471074,0.388429752066116,0.442148760330579,0.413223140495868,0.690082644628099,0.309917355371901,"30"
"133",0.22343228153666,0.111448261448261,0.275303178409972,0.217970049916805,0.0729518498979577,0.390058179127165,0.0425213365979195,0.31404958677686,0.43801652892562,0.272727272727273,0.338842975206612,0.194214876033058,0.698347107438017,0.198347107438017,"30"
"134",0.390877358576588,0.0910518423814823,0.492083527744916,0.217970049916805,0.276755795887449,0.524617892054797,0.0427857640703137,0.590909090909091,0.371900826446281,0.673553719008264,0.338842975206612,0.714876033057851,0.933884297520661,0.202479338842975,"50"
