"","VOCATIONAL_TRAINING","joblessness","poverty_in_community","concentrated_disadvantage","edu_completion","illegal_econ_activity","VOCATIONAL_TRAINING_percentile","joblessness_percentile","poverty_in_community_percentile","concentrated_disadvantage_percentile","edu_completion_percentile","illegal_econ_activity_percentile","VOCATIONAL_TRAINING_score"
"48",0.160933853071648,0.120757303721718,0.123405991683764,0.15162314801148,0.0591632692681033,0.0968765175052895,0.0991735537190083,0.0909090909090909,0.210743801652893,0.0826446280991736,0.471074380165289,0.677685950413223,"0"
"49",0.16494344817676,0.166901685821807,0.112520710173442,0.157434053416456,0.0638999936544197,0.0614711941939914,0.107438016528926,0.152892561983471,0.181818181818182,0.0950413223140496,0.5,0.425619834710744,"10"
"50",0.800133146791457,0.554125493459563,0.810067518205661,0.316294278702009,0.114339134186682,0.415165250871924,0.966942148760331,0.838842975206612,0.966942148760331,0.615702479338843,0.690082644628099,0.983471074380165,"90"
"51",0.575982118193592,0.672232350011904,0.239368143572235,0.519158558485702,0.125415783011497,0.072340149448945,0.818181818181818,0.925619834710744,0.512396694214876,0.942148760330578,0.71900826446281,0.508264462809917,"80"
"52",0.691711218668485,0.3369825068884,0.848719563541021,0.23096424566603,0.356881051588486,0.155183836265031,0.896694214876033,0.471074380165289,0.975206611570248,0.322314049586777,0.983471074380165,0.892561983471074,"80"
"53",0.354046951076659,0.351974821658711,0.395040246992352,0.170481084601138,0.0491982628106662,0.086092108171004,0.487603305785124,0.491735537190083,0.723140495867769,0.111570247933884,0.417355371900826,0.607438016528926,"40"
"54",0.469819037090979,0.365035081351069,0.491643334072993,0.176317510391616,0.0323115161557581,0.287806811716912,0.673553719008264,0.520661157024793,0.805785123966942,0.140495867768595,0.276859504132231,0.975206611570248,"60"
"55",0.584925621968634,0.253480328158387,0.856434971188324,0.272658136548698,0.161034213804263,0.10810793762353,0.830578512396694,0.305785123966942,0.979338842975207,0.458677685950413,0.826446280991736,0.747933884297521,"80"
"56",0.153280776331954,0.254699687039443,0.0891874549877895,0.0893707642570501,0,0.0987152553495568,0.0867768595041322,0.309917355371901,0.115702479338843,0.0371900826446281,0,0.698347107438017,"0"
"57",0.316536280058523,0.29136360894451,0.191370038700884,0.24072723632719,0.0828026985442064,0.149215421009567,0.421487603305785,0.37603305785124,0.409090909090909,0.355371900826446,0.582644628099174,0.884297520661157,"40"
"58",0.795869599522525,0.635869376295783,0.937243488939981,0.399154564452102,0.0818041502315212,0.144859903755724,0.962809917355372,0.90495867768595,0.991735537190083,0.789256198347107,0.574380165289256,0.87603305785124,"90"
"59",0.432971548419158,0.40358493849148,0.510578033913985,0.205840597272886,0.035098599840222,0.102424944040514,0.611570247933884,0.590909090909091,0.822314049586777,0.223140495867769,0.293388429752066,0.714876033057851,"60"
"60",0.740742855221195,0.728515179719806,0.61597484550132,0.459740325037739,0.0252044226628446,0.226490822907619,0.946280991735537,0.958677685950413,0.892561983471074,0.884297520661157,0.214876033057851,0.954545454545455,"90"
"61",1,0.855983848591402,0.74997408050042,0.504254713456621,0.0734349414283915,0.544824497942744,1,0.995867768595041,0.946280991735537,0.929752066115702,0.541322314049587,0.995867768595041,"90"
"62",0.605326199855459,0.528964722662992,0.466452378682829,0.484821450724918,0.127759248029109,0.0966395185943481,0.847107438016529,0.805785123966942,0.789256198347107,0.909090909090909,0.735537190082645,0.673553719008264,"80"
"63",0.5474636055899,0.496592113141695,0.378506131804035,0.279683700247338,0.276178660049628,0.12357367778562,0.793388429752066,0.768595041322314,0.702479338842975,0.491735537190083,0.962809917355372,0.838842975206612,"70"
"64",0.490960250626444,0.628452993379268,0.256282111700929,0.320967109365483,0.0944287330316742,0.107826342020447,0.702479338842975,0.896694214876033,0.541322314049587,0.640495867768595,0.619834710743802,0.743801652892562,"70"
"65",0.66633130504578,0.654028842327021,0.325894314879588,0.394867739729749,0.404402933404926,0.0836986028428986,0.884297520661157,0.921487603305785,0.652892561983471,0.78099173553719,0.987603305785124,0.59504132231405,"80"
"66",0.540253596772713,0.462403624478633,0.418539555756864,0.282546911896621,0.254824996264957,0.11751550143576,0.785123966942149,0.71900826446281,0.739669421487603,0.504132231404959,0.954545454545455,0.797520661157025,"70"
"67",0.421114829794387,0.47716641689102,0.340301327266229,0.214379863206651,0.111552037885598,0.0833696102977909,0.586776859504132,0.747933884297521,0.665289256198347,0.264462809917355,0.677685950413223,0.590909090909091,"50"
"68",0.388099184777659,0.412897945356526,0.200797629386557,0.158194451908955,0.239819004524887,0.129413381113845,0.553719008264463,0.607438016528926,0.43801652892562,0.0991735537190083,0.93801652892562,0.855371900826446,"50"
"69",0.447499830733467,0.362240087923583,0.423949343215491,0.190712174739659,0.196608373078961,0.121705373541739,0.62396694214876,0.508264462809917,0.747933884297521,0.169421487603306,0.888429752066116,0.826446280991736,"60"
"70",0.840976587709077,0.716100193483219,0.865860255943075,0.51806430448214,0.152762025846812,0.0631580515321864,0.979338842975207,0.950413223140496,0.987603305785124,0.93801652892562,0.809917355371901,0.433884297520661,"90"
"71",0.679879493384369,0.685851335790885,0.577041964367891,0.428553920080424,0.0992074554940459,0.107383506154528,0.892561983471074,0.933884297520661,0.87603305785124,0.84297520661157,0.640495867768595,0.739669421487603,"80"
"72",0.556443428873103,0.482828658030527,0.446188326188546,0.3174156868834,0.222545867221487,0.108850564987833,0.805785123966942,0.752066115702479,0.764462809917355,0.62396694214876,0.925619834710744,0.752066115702479,"80"
"73",0.75090842322,0.828870135040727,0.532666174768503,0.475757272894057,0.0949897012010807,0.150013107000025,0.950413223140496,0.987603305785124,0.847107438016529,0.90495867768595,0.628099173553719,0.888429752066116,"90"
"74",0.552310120107971,0.604710999406728,0.312109692962661,0.295322693108994,0.138111948855147,0.216851432711359,0.801652892561983,0.880165289256198,0.628099173553719,0.549586776859504,0.772727272727273,0.950413223140496,"70"
"75",0.453499852662147,0.556019379868163,0.212363618846766,0.282278519694662,0.104745958112596,0.155372707056604,0.640495867768595,0.847107438016529,0.479338842975207,0.5,0.65702479338843,0.896694214876033,"60"
"76",0.255458522603632,0.305944659032702,0.0773922429144448,0.206228930802021,0.149952046035806,0.0575175409026177,0.293388429752066,0.40495867768595,0.0909090909090909,0.231404958677686,0.797520661157025,0.363636363636364,"20"
"77",0.234907286484545,0.31732681102882,0.119260816907854,0.216340715645889,0.0155659981538978,0.0752285196858763,0.235537190082645,0.433884297520661,0.198347107438017,0.268595041322314,0.15702479338843,0.537190082644628,"20"
"78",0.452118067432513,0.397488073452736,0.392836163223321,0.394460701944166,0.0361612841694423,0.0862494316085894,0.636363636363636,0.582644628099174,0.71900826446281,0.776859504132231,0.309917355371901,0.611570247933884,"60"
"79",0.265359330603639,0.282685629667557,0.176280291073179,0.175827131716053,0.115492576268682,0.072433764437722,0.326446280991736,0.359504132231405,0.347107438016529,0.132231404958678,0.694214876033058,0.512396694214876,"30"
"80",0.409942705867756,0.309967800315176,0.370596946423347,0.319136192496837,0.102345041473441,0.0957413438084635,0.570247933884298,0.421487603305785,0.681818181818182,0.636363636363636,0.648760330578512,0.665289256198347,"50"
"81",0.617445255783548,0.694289847635096,0.279757427125494,0.613982382328776,0.0581176974753904,0.0899283589560188,0.851239669421488,0.93801652892562,0.590909090909091,0.979338842975207,0.458677685950413,0.644628099173554,"80"
